SNO,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500
86,bccm.86,50,92,46,14,10,10,4.552,93,92.95,0.217944947,92,42.7994,1.996417401,39.435
87,bccm.87,50,92,46,14,10,10,4.585,93,93,0,93,41.9756,1.948161015,36.944
88,bccm.88,50,92,46,14,10,10,4.508,93,93,0,93,41.6255,2.392623968,38.384
89,bccm.89,50,97,49,20,7,7,7.039,192,192,0,192,52.89925,3.425406076,47.579
90,bccm.90,50,97,49,20,7,7,7.017,192,192,0,192,52.3746,2.615435497,46.374
91,bccm.91,50,97,49,20,7,7,6.962,192,191.6,1.240967365,187,53.23355,1.938878425,50.065
92,bccm.92,50,97,49,20,7,7,7.01,192,192,0,192,53.8066,2.188627022,47.775
93,bccm.93,50,97,49,20,7,7,6.973,192,192,0,192,53.04515,2.848272903,47.265
94,bccm.94,50,97,49,20,7,7,7.594,196,196,0,196,52.2334,2.308479703,48.775
95,bccm.95,50,97,49,20,7,7,7.612,196,196,0,196,52.0713,2.243853184,47.843
96,bccm.96,50,97,49,20,7,7,7.676,196,196,0,196,51.82935,2.869577047,45.133
97,bccm.97,50,97,49,20,7,7,7.617,196,196,0,196,52.26955,2.239529292,48.381
98,bccm.98,50,97,49,20,7,7,7.581,196,196,0,196,51.63725,2.095742562,48.344
99,bccm.99,50,97,49,20,7,7,7.73,181,181,0,181,52.5282,2.32059554,46.003
100,bccm.100,50,97,49,20,7,7,7.884,181,181,0,181,51.52925,2.485351824,47.074
101,bccm.101,50,97,49,20,7,7,7.84,181,181,0,181,50.6651,2.546798694,47.087
102,bccm.102,50,97,49,20,7,7,7.874,181,181,0,181,51.21435,2.375497764,46.253
103,bccm.103,50,97,49,20,7,7,7.867,181,181,0,181,51.78035,2.269275111,47.734
104,bccm.104,50,97,49,20,7,7,7.757,184,184,0,184,52.2909,3.014814404,45.921
105,bccm.105,50,97,49,20,7,7,7.756,184,184,0,184,52.97015,2.240036501,49.135
106,bccm.106,50,97,49,20,7,7,7.765,184,184,0,184,52.87085,2.818267647,48.948
107,bccm.107,50,97,49,20,7,7,7.776,184,184,0,184,52.36495,1.867328238,49.6
108,bccm.108,50,97,49,20,7,7,7.771,184,184,0,184,52.70145,2.633056693,46.732
